日期,主队,客队,主队进球,客队进球,比分,参考盘口,实际盘口,预测结果,先进球方,sb_λ_主队初,sb_λ_主队终,sb_λ_客队初,sb_λ_客队终,xl_λ_主队初,xl_λ_主队终,xl_λ_客队初,xl_λ_客队终,odds_fingerprint
2026-6-9,秘魯,西班牙,1,3,1:03,1.0,2.0,,客队,0.4585124364607259,0.4769256224961809,2.616281850995694,2.5397533092347886,0.4438802684069431,0.5065255950495479,2.5570943522046314,2.5377778111650207,ee2a9c94580d8b372d5dee4ae49ada09
2026-6-9,巴拿馬女足,牙買加女足,0,0,0:00,0.0,0.0,1:01,无进球,1.2826601361694694,1.167525586640569,1.2826601361694694,1.2706530384194754,1.201050441191935,1.1503413526020074,1.3039386293654285,1.2412241981819916,4eea964d22d29a2a970ac939c86d7f5d
2026-6-9,科特卡,sjk學院,1,0,1:00,-0.75,-1.5,2:00,主队,2.3703675386698326,2.35076009845356,0.8267169835008815,0.8406313892553734,2.3899199588786644,2.335004202500622,0.8186448547275916,0.8159278313958058,f45c36fd32b5e5cf7c530eaac35bd21c
2026-6-9,科特卡,卡帕,2,1,2:01,-0.5,-1.25,2:00,客队,2.2847270722220943,2.1921553471661213,1.2883629051074337,0.9881964027593514,2.2099508385593114,2.192108642672229,1.038795054842935,0.9352839528915357,81200400c5b5c4efd9a7cd1582b8199f
2026-6-9,科特卡,mp米克力,1,0,1:00,-0.75,-1.25,2:00,主队,2.5047366096534747,2.2477873105680364,1.038929891450376,0.8486351581613725,2.464585315533676,2.2521618463232898,1.0296183039489644,0.7990037985928011,cd69dca0fab014e4fa9405d7335d286a
2026-6-9,科特卡,tps杜古,1,1,1:01,-0.25,-0.75,2:00,主队,2.0833774658450213,2.093996999830461,1.243348967123688,1.4523775753073764,2.1249846189269244,2.066715001430709,1.2462272329582134,1.4558953114459372,9b3fee80a4482ec32d237c5cf4b1aa5f
2026-6-9,科特卡,卡帕,7,2,7:02,-0.75,-1.75,2:00,主队,2.39524008672856,2.722028701491493,1.0353309006256444,1.1038738511255253,2.487835290213525,2.69262596624851,0.989785125789426,1.0088195717704218,8dee73e58bbdcf85bc60a6dbec747cfa
2026-6-9,sjk學院,夏卡,0,1,0:01,0.5,1.0,0:02,客队,1.033164348976309,0.9495130264977012,1.9491868566873736,2.07771931779768,1.0117783280801684,0.939195696355501,1.883735273318635,2.0758896637602686,f498d07bf56aeb97e9b0e26a3cb7ad46
2026-6-9,mp米克力,夏卡,1,0,1:00,0.25,0.75,1:01,主队,0.9564188437510778,1.0035798550387462,1.937343575490193,1.7475408142593154,0.8857916115856128,0.9990604217929931,1.962714647199576,1.7230535442568569,c0067a353c3c4e812db36af9f03ca3be
2026-6-9,pk35萬塔,夏卡,0,0,0:00,0.0,0.25,1:01,无进球,1.3381234362347088,1.2828471712411007,1.4100544943309234,1.4027298111271178,1.3076589697981238,1.247533350719555,1.3902397346813036,1.386213070639032,e9d0f4de039c2b1f2f939f0562a7d0fb
2026-6-9,卡帕,夏卡,1,1,1:01,0.0,-0.25,1:01,客队,1.7185323229081173,1.5371081991491566,1.2429003887224888,1.4122144610269591,1.6756072266570772,1.628185600645347,1.2370076182660434,1.2875949267349425,0a8e1de1ea47ba1fc3184b94ac0ab0ee
2026-6-9,pk35萬塔,夏卡,1,1,1:01,0.0,0.0,1:01,客队,1.618324379921949,1.37571273199874,1.5254376973777923,1.4821194939667517,1.3660676678575714,1.3340810144457544,1.4124285703802344,1.4430488222830562,39ae4aefc913634b05e8312c9f404a8b
2026-6-9,科特卡,夏卡,0,2,0:02,-0.25,-0.25,2:01,客队,1.5092586675014086,1.4941538197359627,1.1099486957598703,1.1951281691638969,1.498423094732975,1.442832047537985,1.0953578407860023,1.1831690144977158,ca8ed9ed830c47a95d57bf667fbe5a4f
